Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
City Government,Adult Medicaid income levels,City-Government/Adult-Medicaid-income-levels/r69u-62nw,Human Resources Administration (HRA),"This table represents details of Medicaid (coverage for Adults). Medicaid provides free health insurance for low-income adults. Eligible adults receive their medical care through a managed care plan or fee-for-service. While your application is being processed, Medicaid may provide up to 90 days of retroactive coverage for unpaid medical bills, if you are eligible during those 90 days.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"jobs and economic mobility, human resources administration, hra, adult, medicaid"
City Government,city council discretionary funding,City-Government/city-council-discretionary-funding/vc6v-4kw2,City Council (NYCC),This dataset reflects applications for discretionary funding to be allocated by the New York City Council between the years 2009 and 2013.,emccartsnyu,http://data.cityofnewyork.us/api/users/cp2c-fkjd,"new york city council discretionary funding (2009-2013), finance, data, contribution, council"
Public Safety,CCRB: Attribution of Complaints to Patrol Borough Bronx 2005 - 2009,Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-B/m7m9-uyrn,Civilian Complaint Review Board (CCRB),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics"
Public Safety,CCRB: Assignment Of Officers Against Whom Allegations Were Substantiated - Detective Bureau 2005 - 2009,Public-Safety/CCRB-Assignment-Of-Officers-Against-Whom-Allegatio/jdmi-whyn,Civilian Complaint Review Board (CCRB),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics"
Social Services,CLOSED NYCHA COMMUNITY CENTRE,Social-Services/CLOSED-NYCHA-COMMUNITY-CENTRE/ufai-egct,New York City Housing Authority (NYCHA),"Community Facilities (Centers) that are on NYCHA property with programs either sponsored by NYCHA or by a non-NYCHA entity. All programs are open to the public. The file contains development name, address, city, state, zipcode, telephone #, sponsoring organization and contact person. 

This file is updated on a need basis.",Priyanka,http://data.cityofnewyork.us/api/users/e8vz-maxz,"nycha, nyc housing, community center, community facility, senior center, lunch program, day care, head start, health clinic"
Housing & Development,CB10 Active Illegal Conversion Complaints,Housing-Development/CB10-Active-Illegal-Conversion-Complaints/9d82-i4dy,Department of Buildings (DOB),Active complaints about illegal residential conversions in Brooklyn Community District 10.,mjaeger@cnglocal.com,http://data.cityofnewyork.us/api/users/cisz-kcsv,"complaints, dob, buildings, conversions, illegal conversions"
Health,Action,Health/Action/bf8a-5cd2,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",Abhishek Mishra,http://data.cityofnewyork.us/api/users/5qzb-ex79,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Health,Jayana,Health/Jayana/shs2-r47p,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",Jayana,http://data.cityofnewyork.us/api/users/77hj-xc53,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Health,cuisine,Health/cuisine/u4wv-2jiq,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",Abhishek Mishra,http://data.cityofnewyork.us/api/users/5qzb-ex79,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Social Services,1/27-2/2,Social-Services/1-27-2-2/3m8s-ck3p,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,mawarner07,http://data.cityofnewyork.us/api/users/wu8u-ke97,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Dirty Water - No ZIPs,Social-Services/Dirty-Water-No-ZIPs/6wrh-b4p8,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,ezkl,http://data.cityofnewyork.us/api/users/dfxb-r5vc,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Open Hydrants,Social-Services/Open-Hydrants/8hyf-k6x5,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,futuraprime,http://data.cityofnewyork.us/api/users/9zue-5cfj,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311_2010_Present_Noise,Social-Services/311_2010_Present_Noise/938p-a9js,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,AVatchinsky,http://data.cityofnewyork.us/api/users/8rvp-qu84,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,types of complaints--snow,Social-Services/types-of-complaints-snow/ax28-pdqn,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,KRC,http://data.cityofnewyork.us/api/users/h5as-tpdt,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Public Drinking in Greenpoint,Social-Services/Public-Drinking-in-Greenpoint/cgj6-q6e2,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,AJanos,http://data.cityofnewyork.us/api/users/giwm-xa7w,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Manhattan,Social-Services/Manhattan/nby9-icbu,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Gloria83092,http://data.cityofnewyork.us/api/users/87q7-apw5,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,xzcv,Social-Services/xzcv/r5g5-at8t,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,mtomny,http://data.cityofnewyork.us/api/users/wm7m-e8fj,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Street light,Social-Services/Street-light/rwz8-g5zv,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,herrera.tim,http://data.cityofnewyork.us/api/users/79te-xnb3,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,2010-2014 noise only,Social-Services/2010-2014-noise-only/syrz-ns27,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Abe Rubenstein,http://data.cityofnewyork.us/api/users/qwr3-u6xd,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311 Indoor Air Quality,Social-Services/311-Indoor-Air-Quality/udax-ixue,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Alexandra Glorioso,http://data.cityofnewyork.us/api/users/6nf4-u8mc,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,open complaints for 1 year,Social-Services/open-complaints-for-1-year/vsci-r3b5,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Irina,http://data.cityofnewyork.us/api/users/hxcg-4enw,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Bronx311_2010-present,Social-Services/Bronx311_2010-present/wi94-7bww,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,cpbride,http://data.cityofnewyork.us/api/users/v4c9-bc9b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Night Noise Survey CB 3,Social-Services/Night-Noise-Survey-CB-3/xtyk-k9qh,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,J Dubovsky,http://data.cityofnewyork.us/api/users/vu4s-cvq4,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
,Parking Violations Issued - Fiscal Year 2015,dataset/Parking-Violations-Issued-Fiscal-Year-2015/c284-tqph,Department of Finance (DOF),"Parking Violations Issued - Fiscal Year 2015

Past violations can be found in the archived dataset.
https://data.cityofnewyork.us/City-Government/Parking-Violations-Issued-Fiscal-Year-2014-August-/jt7v-77mi",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"finance, dof, stars, ticket, violation, summons, parking ticket, parking violations issued - fiscal year 2015"
Social Services,311-NYCC2-2014,Social-Services/311-NYCC2-2014/y3jz-j5cb,311,All 311 Requests from year 2009. This is historical data and will not be updated.,darioq,http://data.cityofnewyork.us/api/users/f45p-px6b,"311, 311 service requests, 2009, all service requests"
Transportation,"72nd St Bdway (1,2,3) and 72nd St Central Park West (B,C)",Transportation/72nd-St-Bdway-1-2-3-and-72nd-St-Central-Park-West-/mh9q-gtyc,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,Nancy Nizza,http://data.cityofnewyork.us/api/users/4ite-q8ir,
